,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
592198,CSN463,CZ463,7800eb,B-2010,B77L,KLAX,EDDF,2020-03-25 06:59:40+00:00,2020-03-26 11:24:47+00:00,20200326,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
592239,CSN452,CZ452,780daa,B-2028,B77L,EHAM,PANC,2020-03-25 07:08:27+00:00,2020-03-26 07:05:08+00:00,20200326,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152.0,,US,US-AK,Anchorage,PANC,ANC,ANC
592406,UPS32,5X32,a771a8,N579UP,B744,KSDF,YSSY,2020-03-25 07:45:25+00:00,2020-03-26 05:36:17+00:00,20200326,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
592466,MPH8322,,4844ef,PH-MPS,B744,FAGM,EHAM,2020-03-25 08:00:12+00:00,2020-03-26 04:58:34+00:00,20200326,Rand Airport,-26.2425003052,28.151199340799998,5483.0,AF,ZA,ZA-GT,Johannesburg,FAGM,QRA,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
592983,UPS56,,a75b5e,N573UP,B744,KONT,VHHH,2020-03-25 10:02:58+00:00,2020-03-26 06:23:56+00:00,20200326,Ontario International Airport,34.05599975585937,-117.60099792480469,944.0,,US,US-CA,Ontario,KONT,ONT,ONT,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,
593064,QTR954,QR954,06a0b3,A7-BCO,B788,OTHH,OTHH,2020-03-25 10:10:18+00:00,2020-03-26 04:06:29+00:00,20200326,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,
593121,THT68,TN68,3a3688,F-ONUI,B789,NTAA,LFPG,2020-03-25 10:14:34+00:00,2020-03-26 06:59:18+00:00,20200326,Faa'a International Airport,-17.553698999999998,-149.60699499999998,5.0,OC,PF,PF-U-A,Papeete,NTAA,PPT,,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,Paris,LFPG,CDG,
593377,CPA826,CX826,789214,,,VHHH,CYYZ,2020-03-25 10:44:06+00:00,2020-03-26 00:48:09+00:00,20200326,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ
593475,FDX77,,ac1e56,N880FD,B77L,KOAK,YSSY,2020-03-25 10:58:07+00:00,2020-03-26 06:47:25+00:00,20200326,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,,US,US-CA,Oakland,KOAK,OAK,OAK,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
593641,CPA846,CX846,78022e,B-KPO,B77W,VHHH,KJFK,2020-03-25 11:10:24+00:00,2020-03-26 02:10:29+00:00,20200326,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK
